GENESIS-Tabelle: 12711-0022
Wanderungen zwischen den Bundesländern: Deutschland, Jahre, Nationalität, Geschlecht, Herkunfts-Bundesland, Ziel-Bundesland;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;
Deutschland insgesamt: Deutschland;;;;;;;;;;
Binnenwanderung (Anzahl);;;;;;;;;;
;;Deutsche;;;Ausländer;;;Insgesamt;;
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
2022;;;;;;;;;;
Schleswig-Holstein;Schleswig-Holstein;-;-;-;-;-;-;-;-;-
;Hamburg;6524;6854;13378;1843;1532;3375;8367;8386;16753
;Niedersachsen;3317;3680;6997;688;560;1248;4005;4240;8245
;Bremen;268;253;521;105;99;204;373;352;725
;Nordrhein-Westfalen;1764;1898;3662;822;735;1557;2586;2633;5219
;Hessen;647;713;1360;279;246;525;926;959;1885
;Rheinland-Pfalz;366;396;762;138;99;237;504;495;999
;Baden-Württemberg;862;954;1816;421;375;796;1283;1329;2612
;Bayern;941;1005;1946;469;353;822;1410;1358;2768
;Saarland;65;75;140;48;41;89;113;116;229
;Berlin;667;758;1425;215;186;401;882;944;1826
;Brandenburg;415;479;894;83;82;165;498;561;1059
;Mecklenburg-Vorpommern;1784;1720;3504;176;144;320;1960;1864;3824
;Sachsen;357;419;776;114;105;219;471;524;995
;Sachsen-Anhalt;281;307;588;82;45;127;363;352;715
;Thüringen;203;198;401;56;32;88;259;230;489
;Insgesamt;18461;19709;38170;5539;4634;10173;24000;24343;48343
Hamburg;Schleswig-Holstein;9447;10171;19618;1877;1531;3408;11324;11702;23026
;Hamburg;-;-;-;-;-;-;-;-;-
;Niedersachsen;5883;6275;12158;1056;834;1890;6939;7109;14048
;Bremen;298;358;656;118;91;209;416;449;865
;Nordrhein-Westfalen;1806;2043;3849;572;520;1092;2378;2563;4941
;Hessen;662;750;1412;268;239;507;930;989;1919
;Rheinland-Pfalz;271;293;564;118;83;201;389;376;765
;Baden-Württemberg;985;997;1982;350;332;682;1335;1329;2664
;Bayern;1164;1164;2328;503;408;911;1667;1572;3239
;Saarland;51;61;112;19;16;35;70;77;147
;Berlin;1033;1180;2213;394;357;751;1427;1537;2964
;Brandenburg;300;327;627;75;43;118;375;370;745
;Mecklenburg-Vorpommern;941;1033;1974;148;116;264;1089;1149;2238
;Sachsen;305;331;636;98;85;183;403;416;819
;Sachsen-Anhalt;195;186;381;75;53;128;270;239;509
;Thüringen;125;132;257;44;58;102;169;190;359
;Insgesamt;23466;25301;48767;5715;4766;10481;29181;30067;59248
Niedersachsen;Schleswig-Holstein;3361;3799;7160;705;555;1260;4066;4354;8420
;Hamburg;4472;4723;9195;1215;1030;2245;5687;5753;11440
;Niedersachsen;-;-;-;-;-;-;-;-;-
;Bremen;3713;3841;7554;1187;899;2086;4900;4740;9640
;Nordrhein-Westfalen;10453;11984;22437;4955;4333;9288;15408;16317;31725
;Hessen;2793;3068;5861;1275;1136;2411;4068;4204;8272
;Rheinland-Pfalz;1081;1134;2215;580;467;1047;1661;1601;3262
;Baden-Württemberg;2726;2718;5444;1779;1435;3214;4505;4153;8658
;Bayern;2875;2801;5676;2478;1847;4325;5353;4648;10001
;Saarland;176;202;378;134;98;232;310;300;610
;Berlin;1874;2143;4017;901;783;1684;2775;2926;5701
;Brandenburg;976;975;1951;329;229;558;1305;1204;2509
;Mecklenburg-Vorpommern;1226;1410;2636;306;252;558;1532;1662;3194
;Sachsen;1202;1197;2399;525;411;936;1727;1608;3335
;Sachsen-Anhalt;2082;2135;4217;560;422;982;2642;2557;5199
;Thüringen;886;879;1765;323;238;561;1209;1117;2326
;Insgesamt;39896;43009;82905;17252;14135;31387;57148;57144;114292
Bremen;Schleswig-Holstein;270;328;598;100;83;183;370;411;781
;Hamburg;440;495;935;189;133;322;629;628;1257
;Niedersachsen;5352;5785;11137;1044;913;1957;6396;6698;13094
;Bremen;-;-;-;-;-;-;-;-;-
;Nordrhein-Westfalen;683;747;1430;400;339;739;1083;1086;2169
;Hessen;179;189;368;124;95;219;303;284;587
;Rheinland-Pfalz;88;87;175;57;30;87;145;117;262
;Baden-Württemberg;268;263;531;199;138;337;467;401;868
;Bayern;231;236;467;246;160;406;477;396;873
;Saarland;20;23;43;19;11;30;39;34;73
;Berlin;222;221;443;142;135;277;364;356;720
;Brandenburg;80;76;156;38;32;70;118;108;226
;Mecklenburg-Vorpommern;95;113;208;46;21;67;141;134;275
;Sachsen;93;89;182;46;32;78;139;121;260
;Sachsen-Anhalt;56;52;108;26;30;56;82;82;164
;Thüringen;33;40;73;34;15;49;67;55;122
;Insgesamt;8110;8744;16854;2710;2167;4877;10820;10911;21731
Nordrhein-Westfalen;Schleswig-Holstein;2507;2864;5371;644;513;1157;3151;3377;6528
;Hamburg;2273;2723;4996;818;753;1571;3091;3476;6567
;Niedersachsen;12130;13703;25833;3843;3036;6879;15973;16739;32712
;Bremen;609;689;1298;385;295;680;994;984;1978
;Nordrhein-Westfalen;-;-;-;-;-;-;-;-;-
;Hessen;5712;6382;12094;2918;2210;5128;8630;8592;17222
;Rheinland-Pfalz;6925;7477;14402;2020;1618;3638;8945;9095;18040
;Baden-Württemberg;5952;5997;11949;3584;2692;6276;9536;8689;18225
;Bayern;6424;6176;12600;4447;2929;7376;10871;9105;19976
;Saarland;469;499;968;319;273;592;788;772;1560
;Berlin;3225;3708;6933;1494;1332;2826;4719;5040;9759
;Brandenburg;1089;1039;2128;365;311;676;1454;1350;2804
;Mecklenburg-Vorpommern;948;1016;1964;252;174;426;1200;1190;2390
;Sachsen;1643;1582;3225;720;558;1278;2363;2140;4503
;Sachsen-Anhalt;1019;986;2005;494;391;885;1513;1377;2890
;Thüringen;788;821;1609;518;338;856;1306;1159;2465
;Insgesamt;51713;55662;107375;22821;17423;40244;74534;73085;147619
Hessen;Schleswig-Holstein;937;1137;2074;248;187;435;1185;1324;2509
;Hamburg;931;1043;1974;312;344;656;1243;1387;2630
;Niedersachsen;3036;3303;6339;1140;889;2029;4176;4192;8368
;Bremen;178;187;365;117;88;205;295;275;570
;Nordrhein-Westfalen;5717;6286;12003;3168;2756;5924;8885;9042;17927
;Hessen;-;-;-;-;-;-;-;-;-
;Rheinland-Pfalz;6085;6570;12655;2198;1765;3963;8283;8335;16618
;Baden-Württemberg;5439;5914;11353;2733;2143;4876;8172;8057;16229
;Bayern;5324;5452;10776;2932;2185;5117;8256;7637;15893
;Saarland;319;362;681;170;150;320;489;512;1001
;Berlin;1604;1610;3214;696;624;1320;2300;2234;4534
;Brandenburg;497;491;988;150;150;300;647;641;1288
;Mecklenburg-Vorpommern;391;427;818;95;70;165;486;497;983
;Sachsen;1054;1022;2076;428;351;779;1482;1373;2855
;Sachsen-Anhalt;452;490;942;253;172;425;705;662;1367
;Thüringen;1127;1241;2368;360;266;626;1487;1507;2994
;Insgesamt;33091;35535;68626;15000;12140;27140;48091;47675;95766
Rheinland-Pfalz;Schleswig-Holstein;411;459;870;125;85;210;536;544;1080
;Hamburg;326;384;710;158;125;283;484;509;993
;Niedersachsen;1081;1131;2212;560;406;966;1641;1537;3178
;Bremen;103;92;195;67;53;120;170;145;315
;Nordrhein-Westfalen;5916;6553;12469;2214;1839;4053;8130;8392;16522
;Hessen;5385;6023;11408;2194;1775;3969;7579;7798;15377
;Rheinland-Pfalz;-;-;-;-;-;-;-;-;-
;Baden-Württemberg;5139;5517;10656;2393;1842;4235;7532;7359;14891
;Bayern;1902;1990;3892;1281;864;2145;3183;2854;6037
;Saarland;1681;1826;3507;481;376;857;2162;2202;4364
;Berlin;671;747;1418;292;258;550;963;1005;1968
;Brandenburg;219;231;450;89;68;157;308;299;607
;Mecklenburg-Vorpommern;212;243;455;48;33;81;260;276;536
;Sachsen;444;432;876;179;152;331;623;584;1207
;Sachsen-Anhalt;202;243;445;112;79;191;314;322;636
;Thüringen;269;280;549;98;63;161;367;343;710
;Insgesamt;23961;26151;50112;10291;8018;18309;34252;34169;68421
Baden-Württemberg;Schleswig-Holstein;1172;1262;2434;322;272;594;1494;1534;3028
;Hamburg;1228;1367;2595;484;372;856;1712;1739;3451
;Niedersachsen;2744;2843;5587;1248;974;2222;3992;3817;7809
;Bremen;212;239;451;173;134;307;385;373;758
;Nordrhein-Westfalen;5791;6083;11874;3893;3147;7040;9684;9230;18914
;Hessen;5719;6255;11974;2726;2189;4915;8445;8444;16889
;Rheinland-Pfalz;5689;6393;12082;2579;1895;4474;8268;8288;16556
;Baden-Württemberg;-;-;-;-;-;-;-;-;-
;Bayern;13539;14280;27819;6765;4802;11567;20304;19082;39386
;Saarland;637;684;1321;324;276;600;961;960;1921
;Berlin;2408;2471;4879;994;905;1899;3402;3376;6778
;Brandenburg;761;732;1493;267;222;489;1028;954;1982
;Mecklenburg-Vorpommern;627;638;1265;153;126;279;780;764;1544
;Sachsen;1990;1961;3951;595;488;1083;2585;2449;5034
;Sachsen-Anhalt;675;653;1328;316;264;580;991;917;1908
;Thüringen;928;933;1861;375;260;635;1303;1193;2496
;Insgesamt;44120;46794;90914;21214;16326;37540;65334;63120;128454
Bayern;Schleswig-Holstein;1131;1209;2340;397;331;728;1528;1540;3068
;Hamburg;1245;1478;2723;634;484;1118;1879;1962;3841
;Niedersachsen;2883;2829;5712;1659;1163;2822;4542;3992;8534
;Bremen;238;244;482;247;178;425;485;422;907
;Nordrhein-Westfalen;5397;5467;10864;4575;3426;8001;9972;8893;18865
;Hessen;4800;4910;9710;2550;1919;4469;7350;6829;14179
;Rheinland-Pfalz;1756;1834;3590;1132;734;1866;2888;2568;5456
;Baden-Württemberg;12024;12892;24916;6455;4668;11123;18479;17560;36039
;Bayern;-;-;-;-;-;-;-;-;-
;Saarland;314;312;626;267;188;455;581;500;1081
;Berlin;2825;2872;5697;1441;1254;2695;4266;4126;8392
;Brandenburg;1025;983;2008;344;225;569;1369;1208;2577
;Mecklenburg-Vorpommern;645;704;1349;204;139;343;849;843;1692
;Sachsen;3097;2966;6063;923;758;1681;4020;3724;7744
;Sachsen-Anhalt;878;855;1733;443;337;780;1321;1192;2513
;Thüringen;1835;1826;3661;649;511;1160;2484;2337;4821
;Insgesamt;40093;41381;81474;21920;16315;38235;62013;57696;119709
Saarland;Schleswig-Holstein;58;75;133;15;18;33;73;93;166
;Hamburg;55;67;122;21;25;46;76;92;168
;Niedersachsen;167;175;342;104;87;191;271;262;533
;Bremen;15;17;32;17;14;31;32;31;63
;Nordrhein-Westfalen;451;598;1049;420;358;778;871;956;1827
;Hessen;308;347;655;192;141;333;500;488;988
;Rheinland-Pfalz;1703;1996;3699;452;406;858;2155;2402;4557
;Baden-Württemberg;568;633;1201;283;231;514;851;864;1715
;Bayern;326;305;631;233;160;393;559;465;1024
;Saarland;-;-;-;-;-;-;-;-;-
;Berlin;139;137;276;73;54;127;212;191;403
;Brandenburg;37;37;74;20;17;37;57;54;111
;Mecklenburg-Vorpommern;39;47;86;10;4;14;49;51;100
;Sachsen;70;71;141;31;29;60;101;100;201
;Sachsen-Anhalt;35;35;70;23;19;42;58;54;112
;Thüringen;54;43;97;42;24;66;96;67;163
;Insgesamt;4025;4583;8608;1936;1587;3523;5961;6170;12131
Berlin;Schleswig-Holstein;906;1071;1977;172;160;332;1078;1231;2309
;Hamburg;779;887;1666;404;361;765;1183;1248;2431
;Niedersachsen;1816;2054;3870;635;568;1203;2451;2622;5073
;Bremen;162;212;374;114;94;208;276;306;582
;Nordrhein-Westfalen;2559;2745;5304;1412;1248;2660;3971;3993;7964
;Hessen;1133;1247;2380;675;581;1256;1808;1828;3636
;Rheinland-Pfalz;504;572;1076;236;217;453;740;789;1529
;Baden-Württemberg;1767;1888;3655;870;745;1615;2637;2633;5270
;Bayern;2268;2342;4610;1509;1145;2654;3777;3487;7264
;Saarland;122;120;242;77;41;118;199;161;360
;Berlin;-;-;-;-;-;-;-;-;-
;Brandenburg;13900;14180;28080;2733;2233;4966;16633;16413;33046
;Mecklenburg-Vorpommern;1538;1708;3246;161;147;308;1699;1855;3554
;Sachsen;1358;1479;2837;524;430;954;1882;1909;3791
;Sachsen-Anhalt;925;974;1899;379;356;735;1304;1330;2634
;Thüringen;463;530;993;128;142;270;591;672;1263
;Insgesamt;30200;32009;62209;10029;8468;18497;40229;40477;80706
Brandenburg;Schleswig-Holstein;478;528;1006;117;90;207;595;618;1213
;Hamburg;218;266;484;157;134;291;375;400;775
;Niedersachsen;908;956;1864;278;236;514;1186;1192;2378
;Bremen;62;75;137;53;40;93;115;115;230
;Nordrhein-Westfalen;849;869;1718;787;670;1457;1636;1539;3175
;Hessen;391;363;754;299;264;563;690;627;1317
;Rheinland-Pfalz;177;205;382;100;108;208;277;313;590
;Baden-Württemberg;562;569;1131;422;377;799;984;946;1930
;Bayern;773;743;1516;584;501;1085;1357;1244;2601
;Saarland;33;38;71;27;19;46;60;57;117
;Berlin;6168;6222;12390;2291;1991;4282;8459;8213;16672
;Brandenburg;-;-;-;-;-;-;-;-;-
;Mecklenburg-Vorpommern;1539;1762;3301;125;100;225;1664;1862;3526
;Sachsen;1824;1886;3710;299;265;564;2123;2151;4274
;Sachsen-Anhalt;1117;1251;2368;251;195;446;1368;1446;2814
;Thüringen;337;402;739;119;93;212;456;495;951
;Insgesamt;15436;16135;31571;5909;5083;10992;21345;21218;42563
Mecklenburg-Vorpommern;Schleswig-Holstein;1275;1380;2655;226;183;409;1501;1563;3064
;Hamburg;637;675;1312;288;217;505;925;892;1817
;Niedersachsen;987;1127;2114;424;251;675;1411;1378;2789
;Bremen;89;92;181;68;51;119;157;143;300
;Nordrhein-Westfalen;692;698;1390;590;415;1005;1282;1113;2395
;Hessen;272;291;563;152;113;265;424;404;828
;Rheinland-Pfalz;144;158;302;66;47;113;210;205;415
;Baden-Württemberg;403;420;823;272;224;496;675;644;1319
;Bayern;444;462;906;313;236;549;757;698;1455
;Saarland;35;26;61;13;10;23;48;36;84
;Berlin;765;909;1674;252;232;484;1017;1141;2158
;Brandenburg;1058;1196;2254;155;119;274;1213;1315;2528
;Mecklenburg-Vorpommern;-;-;-;-;-;-;-;-;-
;Sachsen;609;709;1318;107;85;192;716;794;1510
;Sachsen-Anhalt;381;400;781;85;74;159;466;474;940
;Thüringen;215;238;453;58;39;97;273;277;550
;Insgesamt;8006;8781;16787;3069;2296;5365;11075;11077;22152
Sachsen;Schleswig-Holstein;365;425;790;159;88;247;524;513;1037
;Hamburg;328;370;698;267;158;425;595;528;1123
;Niedersachsen;1009;1096;2105;696;440;1136;1705;1536;3241
;Bremen;90;87;177;135;54;189;225;141;366
;Nordrhein-Westfalen;1257;1300;2557;1299;971;2270;2556;2271;4827
;Hessen;701;812;1513;543;347;890;1244;1159;2403
;Rheinland-Pfalz;368;399;767;275;195;470;643;594;1237
;Baden-Württemberg;1218;1271;2489;935;625;1560;2153;1896;4049
;Bayern;2246;2181;4427;1742;888;2630;3988;3069;7057
;Saarland;61;76;137;67;57;124;128;133;261
;Berlin;1163;1366;2529;758;557;1315;1921;1923;3844
;Brandenburg;1723;1907;3630;494;239;733;2217;2146;4363
;Mecklenburg-Vorpommern;689;798;1487;125;74;199;814;872;1686
;Sachsen;-;-;-;-;-;-;-;-;-
;Sachsen-Anhalt;2604;2724;5328;574;360;934;3178;3084;6262
;Thüringen;1998;2188;4186;668;389;1057;2666;2577;5243
;Insgesamt;15820;17000;32820;8737;5442;14179;24557;22442;46999
Sachsen-Anhalt;Schleswig-Holstein;264;292;556;135;68;203;399;360;759
;Hamburg;178;198;376;230;155;385;408;353;761
;Niedersachsen;1935;2017;3952;678;522;1200;2613;2539;5152
;Bremen;44;52;96;91;41;132;135;93;228
;Nordrhein-Westfalen;767;843;1610;1019;770;1789;1786;1613;3399
;Hessen;350;405;755;363;268;631;713;673;1386
;Rheinland-Pfalz;174;177;351;179;109;288;353;286;639
;Baden-Württemberg;478;478;956;437;274;711;915;752;1667
;Bayern;639;690;1329;628;412;1040;1267;1102;2369
;Saarland;26;20;46;28;23;51;54;43;97
;Berlin;615;730;1345;492;356;848;1107;1086;2193
;Brandenburg;906;1002;1908;158;118;276;1064;1120;2184
;Mecklenburg-Vorpommern;528;599;1127;65;36;101;593;635;1228
;Sachsen;2380;2542;4922;507;400;907;2887;2942;5829
;Sachsen-Anhalt;-;-;-;-;-;-;-;-;-
;Thüringen;1057;1219;2276;231;155;386;1288;1374;2662
;Insgesamt;10341;11264;21605;5241;3707;8948;15582;14971;30553
Thüringen;Schleswig-Holstein;205;210;415;89;60;149;294;270;564
;Hamburg;144;192;336;136;106;242;280;298;578
;Niedersachsen;879;989;1868;389;318;707;1268;1307;2575
;Bremen;46;53;99;42;38;80;88;91;179
;Nordrhein-Westfalen;721;832;1553;1077;858;1935;1798;1690;3488
;Hessen;1043;1229;2272;503;402;905;1546;1631;3177
;Rheinland-Pfalz;213;272;485;174;128;302;387;400;787
;Baden-Württemberg;702;717;1419;472;348;820;1174;1065;2239
;Bayern;1718;1775;3493;941;645;1586;2659;2420;5079
;Saarland;38;38;76;38;25;63;76;63;139
;Berlin;417;538;955;260;210;470;677;748;1425
;Brandenburg;327;361;688;79;60;139;406;421;827
;Mecklenburg-Vorpommern;337;381;718;36;30;66;373;411;784
;Sachsen;2357;2516;4873;400;338;738;2757;2854;5611
;Sachsen-Anhalt;1001;1245;2246;191;130;321;1192;1375;2567
;Thüringen;-;-;-;-;-;-;-;-;-
;Insgesamt;10148;11348;21496;4827;3696;8523;14975;15044;30019
Insgesamt;Schleswig-Holstein;22787;25210;47997;5331;4224;9555;28118;29434;57552
;Hamburg;19778;21722;41500;7156;5929;13085;26934;27651;54585
;Niedersachsen;44127;47963;92090;14442;11197;25639;58569;59160;117729
;Bremen;6127;6491;12618;2919;2169;5088;9046;8660;17706
;Nordrhein-Westfalen;44823;48946;93769;27203;22385;49588;72026;71331;143357
;Hessen;30095;32984;63079;15061;11925;26986;45156;44909;90065
;Rheinland-Pfalz;25544;27963;53507;10304;7901;18205;35848;35864;71712
;Baden-Württemberg;39093;41228;80321;21605;16449;38054;60698;57677;118375
;Bayern;40814;41602;82416;25071;17535;42606;65885;59137;125022
;Saarland;4047;4362;8409;2031;1604;3635;6078;5966;12044
;Berlin;23796;25612;49408;10695;9234;19929;34491;34846;69337
;Brandenburg;23313;24016;47329;5379;4148;9527;28692;28164;56856
;Mecklenburg-Vorpommern;11539;12599;24138;1950;1466;3416;13489;14065;27554
;Sachsen;18783;19202;37985;5496;4487;9983;24279;23689;47968
;Sachsen-Anhalt;11903;12536;24439;3864;2927;6791;15767;15463;31230
;Thüringen;10318;10970;21288;3703;2623;6326;14021;13593;27614
;Insgesamt;376887;403406;780293;162210;126203;288413;539097;529609;1068706
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 01.12.2023 / 22:21:58
